pedido,data,plataforma,subtotal,taxas,descontos,faturamento,canal_ultimo,origem_ultimo,midia_ultimo,campanha_ultimo,canal_primeiro,origem_primeiro,midia_primeiro,campanha_primeiro,metodo_match
175065576,2026-08-27,app,2155.2,238.97,0,2394.17,Nao identificado,,,,Nao identificado,,,,sem_origem
175065579,2026-08-27,app,1521.1,170.78,0,1691.88,Nao identificado,,,,Nao identificado,,,,sem_origem
175065582,2026-08-27,web,913.61,172.73,0,1086.34,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065595,2026-08-27,web,2421.51,109.51,0,2531.02,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065609,2026-08-27,app,325.95,65.55,0,391.5,Nao identificado,,,,Nao identificado,,,,sem_origem
175065617,2026-08-27,web,1222.25,199.13,0,1421.38,Nao identificado,,,,Nao identificado,,,,sem_origem
175065622,2026-08-27,web,968.6,170.6,0,1139.2,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065633,2026-08-27,web,1675.63,318.77,0,1994.4,Nao identificado,,,,Nao identificado,,,,sem_origem
175065638,2026-08-27,web,2416.97,224.97,0,2641.94,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065657,2026-08-27,web,1149.54,161.7,0,1311.24,Nao identificado,,,,Nao identificado,,,,sem_origem
175065660,2026-08-27,app,1484.34,305.66,0,1790,Nao identificado,,,,Nao identificado,,,,sem_origem
175065700,2026-08-27,web,992.18,165.62,0,1157.8,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065725,2026-08-27,web,671.93,40.75,49.18,663.5,Nao identificado,,,,Nao identificado,,,,sem_origem
175065734,2026-08-27,app,1435.7,177.3,0,1613,Nao identificado,,,,Nao identificado,,,,sem_origem
175065739,2026-08-27,app,953.51,131.99,0,1085.5,Nao identificado,,,,Nao identificado,,,,sem_origem
175065749,2026-08-27,web,2933.97,173.42,424.55,2682.84,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065761,2026-08-27,web,1324.24,289.36,0,1613.6,Nao identificado,,,,Nao identificado,,,,sem_origem
175065763,2026-08-27,web,834.2,125.24,0,959.44,Nao identificado,,,,Nao identificado,,,,sem_origem
175065776,2026-08-27,web,2421.51,109.51,0,2531.02,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065793,2026-08-27,app,1054.91,101.69,77.22,1079.38,Nao identificado,,,,Nao identificado,,,,sem_origem
175065802,2026-08-27,web,1608.54,229.26,0,1837.8,Nao identificado,,,,Nao identificado,,,,sem_origem
175065811,2026-08-27,web,1584.54,190.02,0,1774.56,Nao identificado,,,,Nao identificado,,,,sem_origem
175065812,2026-08-27,app,1287.34,193.66,0,1481,Nao identificado,,,,Nao identificado,,,,sem_origem
175065828,2026-08-27,web,1366.15,104.05,62.3,1407.9,Nao identificado,,,,Nao identificado,,,,sem_origem
175065854,2026-08-27,web,717.31,82.19,0,799.5,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065883,2026-08-27,web,1367.09,224.69,0,1591.78,Nao identificado,,,,Nao identificado,,,,sem_origem
175065894,2026-08-27,app,2285.19,408.99,0,2694.18,Nao identificado,,,,Nao identificado,,,,sem_origem
175065895,2026-08-27,web,2024,247.16,120.84,2150.32,Nao identificado,,,,Nao identificado,,,,sem_origem
175065901,2026-08-27,web,1805.67,268.47,0,2074.14,Nao identificado,,,,Nao identificado,,,,sem_origem
175065904,2026-08-27,app,271.68,1242.05,0,1513.73,Nao identificado,,,,Nao identificado,,,,sem_origem
175065918,2026-08-27,web,1871.61,109.87,111.74,1869.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175065942,2026-08-27,web,3310.12,61.78,746.44,2625.46,Nao identificado,,,,Nao identificado,,,,sem_origem
175065966,2026-08-27,web,787.88,61.88,0,849.76,Nao identificado,,,,Nao identificado,,,,sem_origem
175065987,2026-08-27,web,827.17,163.57,0,990.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175065991,2026-08-27,web,492.42,75.51,0,567.93,Nao identificado,,,,Nao identificado,,,,sem_origem
175066002,2026-08-27,app,2972.73,509.2,0,3481.93,Nao identificado,,,,Nao identificado,,,,sem_origem
175066006,2026-08-27,web,827.17,163.57,0,990.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175066008,2026-08-27,web,3829.47,731.76,0,4561.23,Nao identificado,,,,Nao identificado,,,,sem_origem
175066016,2026-08-27,web,2086.83,230.43,0,2317.26,Nao identificado,,,,Nao identificado,,,,sem_origem
175066030,2026-08-27,web,471.1,99.82,0,570.92,Nao identificado,,,,Nao identificado,,,,sem_origem
175066032,2026-08-27,app,4454.3,148.64,545.66,4057.28,Nao identificado,,,,Nao identificado,,,,sem_origem
175066036,2026-08-27,web,960.68,100.37,70.31,990.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175066038,2026-08-27,app,548.05,124.55,0,672.6,Nao identificado,,,,Nao identificado,,,,sem_origem
175066114,2026-08-27,web,4397.45,101.45,0,4498.9,Nao identificado,,,,Nao identificado,,,,sem_origem
175066128,2026-08-27,web,1703.93,252.41,0,1956.34,Nao identificado,,,,Nao identificado,,,,sem_origem
175066160,2026-08-27,web,1916.35,263.23,0,2179.58,Nao identificado,,,,Nao identificado,,,,sem_origem
175066164,2026-08-27,web,6361.38,432.4,548.98,6244.8,Nao identificado,,,,Nao identificado,,,,sem_origem
175066168,2026-08-27,web,1140.46,104.46,0,1244.92,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066179,2026-08-27,web,1441.76,129.76,0,1571.52,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066180,2026-08-27,web,1073.76,258.04,0,1331.8,Nao identificado,,,,Nao identificado,,,,sem_origem
175066227,2026-08-27,web,449.39,43.39,0,492.78,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066251,2026-08-27,web,471.1,99.82,0,570.92,Nao identificado,,,,Nao identificado,,,,sem_origem
175066263,2026-08-27,web,998.91,172.35,0,1171.26,Nao identificado,,,,Nao identificado,,,,sem_origem
175066267,2026-08-27,web,6361.38,432.4,548.98,6244.8,Nao identificado,,,,Nao identificado,,,,sem_origem
175066268,2026-08-27,web,1758.04,192.32,0,1950.36,Nao identificado,,,,Nao identificado,,,,sem_origem
175066270,2026-08-27,app,496.1,102.98,0,599.08,Nao identificado,,,,Nao identificado,,,,sem_origem
175066274,2026-08-27,app,1171.55,110.44,101.11,1180.88,Nao identificado,,,,Nao identificado,,,,sem_origem
175066279,2026-08-27,web,907.8,132.17,0,1039.97,Nao identificado,,,,Nao identificado,,,,sem_origem
175066280,2026-08-27,web,6361.38,432.4,548.98,6244.8,Nao identificado,,,,Nao identificado,,,,sem_origem
175066294,2026-08-27,app,6407.05,925.05,0,7332.1,Nao identificado,,,,Nao identificado,,,,sem_origem
175066319,2026-08-27,app,1171.55,110.44,101.11,1180.88,Nao identificado,,,,Nao identificado,,,,sem_origem
175066321,2026-08-27,web,1758.04,192.32,0,1950.36,Nao identificado,,,,Nao identificado,,,,sem_origem
175066322,2026-08-27,web,903.54,179.46,0,1083,Nao identificado,,,,Nao identificado,,,,sem_origem
175066329,2026-08-27,web,3235.3,466.61,323.01,3378.9,Nao identificado,,,,Nao identificado,,,,sem_origem
175066337,2026-08-27,web,1785.87,195.74,154.13,1827.48,Nao identificado,,,,Nao identificado,,,,sem_origem
175066373,2026-08-27,web,314.62,79.42,0,394.04,Nao identificado,,,,Nao identificado,,,,sem_origem
175066383,2026-08-27,web,1222.52,281.72,0,1504.24,Nao identificado,,,,Nao identificado,,,,sem_origem
175066391,2026-08-27,web,776.33,148.01,0,924.34,Nao identificado,,,,Nao identificado,,,,sem_origem
175066399,2026-08-27,web,1363.9,97.9,0,1461.8,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066406,2026-08-27,app,1259.59,43.39,92.2,1210.78,Nao identificado,,,,Nao identificado,,,,sem_origem
175066421,2026-08-27,web,448.64,94.73,0,543.37,Nao identificado,,,,Nao identificado,,,,sem_origem
175066433,2026-08-27,web,1758.04,192.32,0,1950.36,Nao identificado,,,,Nao identificado,,,,sem_origem
175066444,2026-08-27,app,864.66,123,0,987.66,Nao identificado,,,,Nao identificado,,,,sem_origem
175066451,2026-08-27,web,1363.9,97.9,0,1461.8,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066456,2026-08-27,web,1704.84,234.84,0,1939.68,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066472,2026-08-27,web,2053.32,230.52,0,2283.84,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066477,2026-08-27,web,855.69,166.89,0,1022.58,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066479,2026-08-27,web,4134.73,197.9,356.83,3975.8,Nao identificado,,,,Nao identificado,,,,sem_origem
175066487,2026-08-27,web,1708.42,364.42,0,2072.84,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066495,2026-08-27,web,5012.4,432.4,0,5444.8,Nao identificado,,,,Nao identificado,,,,sem_origem
175066503,2026-08-27,web,322.06,86.86,0,408.92,Nao identificado,,,,Nao identificado,,,,sem_origem
175066546,2026-08-27,app,2968.98,314.58,0,3283.56,Nao identificado,,,,Nao identificado,,,,sem_origem
175066559,2026-08-27,web,2213.32,177.32,0,2390.64,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066578,2026-08-27,app,1699.32,234.36,0,1933.68,Nao identificado,,,,Nao identificado,,,,sem_origem
175066580,2026-08-27,web,2076.75,184.74,152.01,2109.48,Nao identificado,,,,Nao identificado,,,,sem_origem
175066583,2026-08-27,web,3489.7,359.86,0,3849.56,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066586,2026-08-27,app,1315.07,214.67,0,1529.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175066593,2026-08-27,web,715.98,112.86,0,828.84,Nao identificado,,,,Nao identificado,,,,sem_origem
175066599,2026-08-27,web,975.49,166.89,0,1142.38,Nao identificado,,,,Nao identificado,,,,sem_origem
175066613,2026-08-27,web,1990.54,94.84,145.7,1939.68,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066647,2026-08-27,web,1385.06,206.34,0,1591.4,Nao identificado,,,,Nao identificado,,,,sem_origem
175066651,2026-08-27,app,2705.44,626.98,0,3332.42,Nao identificado,,,,Nao identificado,,,,sem_origem
175066655,2026-08-27,web,312.33,77.13,0,389.46,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066660,2026-08-27,web,1819.52,334.4,0,2153.92,Nao identificado,,,,Nao identificado,,,,sem_origem
175066672,2026-08-27,web,1530.82,274.18,0,1805,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066690,2026-08-27,web,2263.64,509.72,0,2773.36,Nao identificado,,,,Nao identificado,,,,sem_origem
175066691,2026-08-27,app,701.16,126.6,0,827.76,Nao identificado,,,,Nao identificado,,,,sem_origem
175066697,2026-08-27,app,729.65,155.09,0,884.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175066777,2026-08-27,app,551.67,84.63,0,636.3,Nao identificado,,,,Nao identificado,,,,sem_origem
175066784,2026-08-27,web,1691.02,205.9,0,1896.92,Nao identificado,,,,Nao identificado,,,,sem_origem
175066803,2026-08-27,app,1176.05,241.86,0,1417.91,Nao identificado,,,,Nao identificado,,,,sem_origem
175066825,2026-08-27,web,907.88,165.32,0,1073.2,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066827,2026-08-27,web,2997.26,522.62,0,3519.88,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066830,2026-08-27,app,415.64,71.24,0,486.88,Nao identificado,,,,Nao identificado,,,,sem_origem
175066834,2026-08-27,app,2846.99,482.12,0,3329.11,Nao identificado,,,,Nao identificado,,,,sem_origem
175066840,2026-08-27,web,743.03,101.27,0,844.3,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175066860,2026-08-27,web,1189.31,123.92,117.39,1195.84,Nao identificado,,,,Nao identificado,,,,sem_origem
175066913,2026-08-27,web,3013.96,293.87,260.09,3047.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175066926,2026-08-27,web,355.55,68.27,0,423.82,Nao identificado,,,,Nao identificado,,,,sem_origem
175066927,2026-08-27,app,579.7,53.78,50.02,583.46,Nao identificado,,,,Nao identificado,,,,sem_origem
175066933,2026-08-27,web,1123.14,123.92,51.22,1195.84,Nao identificado,,,,Nao identificado,,,,sem_origem
175066937,2026-08-27,web,3013.96,293.87,260.09,3047.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175066942,2026-08-27,web,1016.58,149.7,0,1166.28,Nao identificado,,,,Nao identificado,,,,sem_origem
175066950,2026-08-27,web,3013.96,293.87,260.09,3047.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175066959,2026-08-27,web,3013.96,293.87,260.09,3047.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175066967,2026-08-27,web,3013.96,293.87,260.09,3047.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175066989,2026-08-27,web,1454.32,281.03,0,1735.35,Nao identificado,,,,Nao identificado,,,,sem_origem
175067011,2026-08-27,web,3013.96,293.87,260.09,3047.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175067014,2026-08-27,web,1403.43,93.63,0,1497.06,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067024,2026-08-27,app,1291.16,91.16,0,1382.32,Nao identificado,,,,Nao identificado,,,,sem_origem
175067046,2026-08-27,app,1396.83,158.67,0,1555.5,Nao identificado,,,,Nao identificado,,,,sem_origem
175067065,2026-08-27,app,5705.25,855.14,0,6560.39,Nao identificado,,,,Nao identificado,,,,sem_origem
175067066,2026-08-27,web,1474.1,237.62,0,1711.72,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067070,2026-08-27,app,3013.96,293.87,260.09,3047.74,Nao identificado,,,,Nao identificado,,,,sem_origem
175067085,2026-08-27,app,2108.74,232.18,0,2340.92,Nao identificado,,,,Nao identificado,,,,sem_origem
175067086,2026-08-27,app,410.54,86.3,0,496.84,Nao identificado,,,,Nao identificado,,,,sem_origem
175067093,2026-08-27,web,652.54,104.86,0,757.4,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067113,2026-08-27,web,472.29,40.75,21.54,491.5,Nao identificado,,,,Nao identificado,,,,sem_origem
175067120,2026-08-27,app,999.87,54.18,59.69,994.36,Nao identificado,,,,Nao identificado,,,,sem_origem
175067157,2026-08-27,web,1207,266.2,0,1473.2,Nao identificado,,,,Nao identificado,,,,sem_origem
175067162,2026-08-27,app,985.1,54.18,44.92,994.36,Nao identificado,,,,Nao identificado,,,,sem_origem
175067166,2026-08-27,app,3588.57,401.84,0,3990.41,Nao identificado,,,,Nao identificado,,,,sem_origem
175067170,2026-08-27,app,869.3,125.06,0,994.36,Nao identificado,,,,Nao identificado,,,,sem_origem
175067177,2026-08-27,web,1038.43,246.61,0,1285.04,Nao identificado,,,,Nao identificado,,,,sem_origem
175067178,2026-08-27,web,784.42,110.66,0,895.08,Nao identificado,,,,Nao identificado,,,,sem_origem
175067181,2026-08-27,app,3588.57,401.84,0,3990.41,Nao identificado,,,,Nao identificado,,,,sem_origem
175067185,2026-08-27,app,3588.57,401.84,0,3990.41,Nao identificado,,,,Nao identificado,,,,sem_origem
175067190,2026-08-27,app,3588.57,401.84,0,3990.41,Nao identificado,,,,Nao identificado,,,,sem_origem
175067196,2026-08-27,app,3588.57,401.84,0,3990.41,Nao identificado,,,,Nao identificado,,,,sem_origem
175067201,2026-08-27,app,3588.57,401.84,0,3990.41,Nao identificado,,,,Nao identificado,,,,sem_origem
175067216,2026-08-27,web,902.75,40.75,0,943.5,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067233,2026-08-27,web,785.17,160.21,0,945.38,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067236,2026-08-27,web,1482.83,214.43,0,1697.26,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067262,2026-08-27,app,1234.44,142.44,0,1376.88,Nao identificado,,,,Nao identificado,,,,sem_origem
175067354,2026-08-27,app,332.27,68.51,0,400.78,Nao identificado,,,,Nao identificado,,,,sem_origem
175067390,2026-08-27,web,581.65,108.1,0,689.75,Nao identificado,,,,Nao identificado,,,,sem_origem
175067398,2026-08-27,web,1285.94,247.64,0,1533.58,Nao identificado,,,,Nao identificado,,,,sem_origem
175067416,2026-08-27,web,445.08,73.8,0,518.88,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067435,2026-08-27,web,896.12,174.27,0,1070.39,Nao identificado,,,,Nao identificado,,,,sem_origem
175067443,2026-08-27,web,1968.6,264.76,0,2233.36,Nao identificado,,,,Nao identificado,,,,sem_origem
175067447,2026-08-27,web,0,1642.24,0,1642.24,Nao identificado,,,,Nao identificado,,,,sem_origem
175067481,2026-08-27,web,435.74,342.86,0,778.6,Nao identificado,,,,Nao identificado,,,,sem_origem
175067482,2026-08-27,web,646.9,126.1,0,773,Nao identificado,,,,Nao identificado,,,,sem_origem
175067503,2026-08-27,web,470.46,64.46,0,534.92,Nao identificado,,,,Nao identificado,,,,sem_origem
175067506,2026-08-27,app,720.49,92.91,0,813.4,Nao identificado,,,,Nao identificado,,,,sem_origem
175067521,2026-08-27,app,473.78,102.5,0,576.28,Nao identificado,,,,Nao identificado,,,,sem_origem
175067524,2026-08-27,web,2076.42,241.86,0,2318.28,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067558,2026-08-27,web,325.95,65.55,0,391.5,Nao identificado,,,,Nao identificado,,,,sem_origem
175067574,2026-08-27,app,965.97,179.04,0,1145.01,Nao identificado,,,,Nao identificado,,,,sem_origem
175067583,2026-08-27,web,847.01,56.44,50.57,852.88,Nao identificado,,,,Nao identificado,,,,sem_origem
175067594,2026-08-27,app,2129.34,434.23,0,2563.57,Nao identificado,,,,Nao identificado,,,,sem_origem
175067610,2026-08-27,web,1333.87,194.83,0,1528.7,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067654,2026-08-27,app,696.73,142.39,0,839.12,Nao identificado,,,,Nao identificado,,,,sem_origem
175067659,2026-08-27,app,691.29,194.64,0,885.93,Nao identificado,,,,Nao identificado,,,,sem_origem
175067661,2026-08-27,app,1403.75,210.95,0,1614.7,Nao identificado,,,,Nao identificado,,,,sem_origem
175067675,2026-08-27,web,171.64,274.18,0,445.82,Nao identificado,,,,Nao identificado,,,,sem_origem
175067681,2026-08-27,web,1333.87,194.83,0,1528.7,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067697,2026-08-27,web,1025.09,143.09,0,1168.18,Nao identificado,,,,Nao identificado,,,,sem_origem
175067701,2026-08-27,web,1292.53,114.19,158.34,1248.38,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067722,2026-08-27,web,476.83,78.67,0,555.5,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067730,2026-08-27,web,414.12,43.39,24.73,432.78,Nao identificado,,,,Nao identificado,,,,sem_origem
175067740,2026-08-27,app,1233.32,71.88,73.64,1231.56,Nao identificado,,,,Nao identificado,,,,sem_origem
175067759,2026-08-27,web,1292.53,114.19,158.34,1248.38,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067769,2026-08-27,app,1812.52,223.24,0,2035.76,Nao identificado,,,,Nao identificado,,,,sem_origem
175067803,2026-08-27,app,2166.08,75.3,98.78,2142.6,Nao identificado,,,,Nao identificado,,,,sem_origem
175067807,2026-08-27,app,1781.04,352.69,0,2133.73,Nao identificado,,,,Nao identificado,,,,sem_origem
175067827,2026-08-27,web,2116.72,248.2,96.52,2268.4,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175067848,2026-08-27,web,3311.48,495.8,0,3807.28,Nao identificado,,,,Nao identificado,,,,sem_origem
